Track,Track Version,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.6662782288722139,0.5351937035751431,0.08371126228269087,0.5757321899997956,0.6337448559670782,0.5049180327868853,0.09259259259259259,0.562043795620438,154,15,89,151,243,57769372496,00:00:57
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.666278228872214,0.6321398982889667,0.12241118669690099,0.6304154862164112,0.6337448559670782,0.5945945945945946,0.1271186440677966,0.6135458167330677,154,15,89,105,243,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.8495008959294674,0.5348637042985446,0.07904828598105909,0.643462347496304,0.8324324324324325,0.5049180327868853,0.09259259259259259,0.6285714285714287,154,15,31,151,185,57667510967,00:00:57
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.8495008959294675,0.63349187891522,0.12709750566893424,0.7112441967498474,0.8324324324324325,0.5945945945945946,0.1271186440677966,0.6936936936936937,154,15,31,105,185,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.8619120297691728,0.5259150722141318,0.06712018140589569,0.6403866330419126,0.8426966292134831,0.4918032786885246,0.06790123456790123,0.6211180124223602,150,11,28,155,178,57717966079,00:00:57
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.8619120297691726,0.6201993325890024,0.09463340891912321,0.7076522115682516,0.8426966292134831,0.5791505791505791,0.09322033898305085,0.6864988558352403,150,11,28,109,178,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.884015984015984,0.5004295350965735,0.014814814814814815,0.6258167888723063,0.8711656441717791,0.46557377049180326,0.018518518518518517,0.6068376068376069,142,3,21,163,163,57737220771,00:00:57
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.884015984015984,0.5900211774108473,0.01904761904761905,0.6945140748810162,0.8711656441717791,0.5482625482625483,0.025423728813559324,0.6729857819905213,142,3,21,117,163,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
