Track,Track Version,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.6803414560933357,0.536789170137054,0.08006596578025149,0.5779267502477545,0.6485355648535565,0.5081967213114754,0.09876543209876543,0.5698529411764706,155,16,84,150,239,61284077876,00:01:01
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.6803414560933357,0.636198579791257,0.12749433106575964,0.6332538825231164,0.6485355648535565,0.5984555984555985,0.13559322033898305,0.6224899598393574,155,16,84,104,239,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw3/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.8568641675784534,0.5356807053934143,0.07725312347161087,0.6454770639779094,0.8461538461538461,0.5049180327868853,0.09259259259259259,0.6324435318275154,154,15,28,151,182,62237357911,00:01:02
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.8568641675784534,0.6348064791020006,0.12603930461073318,0.7147425821023395,0.8461538461538461,0.5945945945945946,0.1271186440677966,0.6984126984126985,154,15,28,105,182,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw0/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.84571460285746,0.5075596598737571,0.027513227513227517,0.6232174321322774,0.8323699421965318,0.4721311475409836,0.030864197530864196,0.602510460251046,144,5,29,161,173,61666519629,00:01:01
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.8457146028574601,0.5993749189074459,0.041723356009070296,0.690412022394509,0.8323699421965318,0.555984555984556,0.0423728813559322,0.6666666666666666,144,5,29,115,173,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.8802910052910055,0.4956676303346688,0.003968253968253968,0.6188504807406823,0.8695652173913043,0.45901639344262296,0.006172839506172839,0.6008583690987125,140,1,21,165,161,61274465114,00:01:01
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.8802910052910055,0.5843641777688853,0.003968253968253968,0.687356195868166,0.8695652173913043,0.5405405405405406,0.00847457627118644,0.6666666666666666,140,1,21,119,161,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,46,0,-,-
conference,conference-v1,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
